contractor_id,contractor_name,specialization,district,rating,tier,years_in_business,gst_number,mobile_number,email,active_contracts,completion_rate_percent,status,area_sq_ft,predicted_contract_amount_inr
VEN0014,Shree Electrical Engineers,Painting,Surat,3.8,Bronze,5,24PIULZ1810N1ZA,9586971499,shreeelectricalengineers@gmail.com,85,83,Active,760,13270
VEN0015,Gujarat Landscaping Engineers,Security,Kutch,4.5,Silver,24,24HDKYR9635A1ZJ,9245644249,gujaratlandscapingengineers@gmail.com,48,82,Active,988,12030
VEN0016,Gujarat Landscaping Maintenance,Furniture,Navsari,4.1,Bronze,9,24UDBZP7485W1ZW,9331688872,gujaratlandscapingmaintenance@gmail.com,137,94,Active,291,10230
VEN0017,Sai Landscaping Facility Management,Electrical,Valsad,4.9,Gold,6,24URZPY8675R1ZO,9874226756,sailandscapingfacilitymanagement@gmail.com,75,94,Active,1195,32520
VEN0018,Om Painting Facility Management,Security,Vadodara,4.0,Bronze,6,24DJDFK3408M1ZY,9568730378,ompaintingfacilitymanagement@gmail.com,112,97,Active,4311,52190
VEN0019,Sunrise Water Tank Cleaning Facility Management,Painting,Patan,4.3,Silver,17,24AIRKE4160M1ZS,9506140323,sunrisewatertankcleaningfacilitymanagement@gmail.com,102,88,Active,4639,86090
VEN0020,Skyline Painting Solutions,Landscaping,Surat,4.3,Silver,13,24FBYBA2862P1ZV,9194236977,skylinepaintingsolutions@gmail.com,46,89,Active,10863,154900
VEN0021,Metro Water Tank Cleaning Services,Water Tank Cleaning,Kutch,4.9,Gold,14,24YFPVG6368Z1ZS,9734353881,metrowatertankcleaningservices@gmail.com,97,94,Active,1017,8380
VEN0022,Prime HVAC Enterprises,Painting,Morbi,4.6,Silver,16,24LTGWV0824T1ZV,9308127387,primehvacenterprises@gmail.com,75,97,Active,5097,93560
VEN0023,Shree Landscaping Facility Management,HVAC,Morbi,3.7,Bronze,19,24TRQMU0263S1ZL,9454737221,shreelandscapingfacilitymanagement@gmail.com,54,90,Active,2828,61220
VEN0024,Metro Landscaping Enterprises,Pest Control,Bharuch,3.9,Bronze,25,24PTPZV2337E1ZI,9002967102,metrolandscapingenterprises@gmail.com,127,94,Active,6165,35720
VEN0025,Reliable Plumbing Services,Pest Control,Rajkot,4.0,Bronze,4,24KBQBD5391Y1ZN,9672544893,reliableplumbingservices@gmail.com,20,99,Active,5623,35280
VEN0026,Metro Furniture Facility Management,Electrical,Bhavnagar,4.0,Bronze,9,24EBALP2277O1ZC,9697669456,metrofurniturefacilitymanagement@gmail.com,73,84,Active,3172,87360
VEN0027,Om Cleaning Enterprises,Water Tank Cleaning,Navsari,4.7,Gold,16,24DRSYN4004K1ZT,9209859962,omcleaningenterprises@gmail.com,15,85,Active,4236,32510
VEN0028,Elite Landscaping Care,Plumbing,Patan,4.9,Gold,22,24VZMKI1144V1ZM,9854339459,elitelandscapingcare@gmail.com,143,94,Active,1102,25380
VEN0029,Skyline Cleaning Facility Management,Water Tank Cleaning,Morbi,4.3,Silver,22,24LBGDH8406Z1ZH,9730428196,skylinecleaningfacilitymanagement@gmail.com,44,95,Active,4479,37080
VEN0030,Skyline Pest Control Care,Landscaping,Jamnagar,3.9,Bronze,14,24EPTDB7837I1ZA,9225941535,skylinepestcontrolcare@gmail.com,144,92,Active,10654,161470
VEN0031,Urban Security Facility Management,Furniture,Kutch,5.0,Gold,9,24WKIMX3976E1ZP,9919318090,urbansecurityfacilitymanagement@gmail.com,41,93,Active,669,24130
VEN0032,Prime Electrical Care,Painting,Mehsana,4.7,Gold,21,24SQWWW3377R1ZB,9626220977,primeelectricalcare@gmail.com,30,94,Active,553,10180
VEN0033,Crystal Painting Services,Cleaning,Navsari,3.7,Bronze,13,24JDNOU1086H1ZP,9914220896,crystalpaintingservices@gmail.com,45,82,Active,2107,16920
VEN0034,Urban Security Maintenance,HVAC,Bharuch,4.0,Bronze,16,24VFKMG5592V1ZM,9256706492,urbansecuritymaintenance@gmail.com,63,99,Active,6919,159420
VEN0035,Modern Furniture Facility Management,Plumbing,Rajkot,4.5,Silver,22,24QILPT0271E1ZZ,9595982848,modernfurniturefacilitymanagement@gmail.com,91,83,Active,1931,45780
VEN0036,Urban Electrical Enterprises,Furniture,Kutch,4.7,Gold,19,24JUANL6658L1ZD,9646936664,urbanelectricalenterprises@gmail.com,82,93,Active,796,28000
VEN0037,Metro Plumbing Services,Painting,Morbi,4.9,Gold,5,24CXDLR7947E1ZN,9686926242,metroplumbingservices@gmail.com,97,83,Active,2776,51610
VEN0038,Modern Landscaping Works,Painting,Gandhinagar,3.7,Bronze,5,24YVCFQ9039Z1ZS,9285582775,modernlandscapingworks@gmail.com,75,84,Active,1773,32290
VEN0039,Prime Landscaping Engineers,Electrical,Ahmedabad,4.7,Gold,6,24AUGIE0757P1ZO,9751590785,primelandscapingengineers@gmail.com,122,80,Active,1181,34260
VEN0040,Sai Pest Control Infra,Electrical,Morbi,4.2,Silver,24,24XBCPB2653T1ZQ,9254716858,saipestcontrolinfra@gmail.com,115,94,Active,3427,96700
VEN0041,Royal HVAC Works,HVAC,Patan,4.8,Gold,25,24CLRJD9080D1ZX,9785553136,royalhvacworks@gmail.com,113,81,Active,3957,88830
VEN0042,Gujarat Water Tank Cleaning Engineers,Water Tank Cleaning,Gandhinagar,4.1,Bronze,6,24RFCVJ7588Y1ZT,9660982173,gujaratwatertankcleaningengineers@gmail.com,91,91,Active,1637,12500
VEN0043,Shree Plumbing Enterprises,HVAC,Vadodara,4.4,Silver,6,24TZCNJ4133S1ZT,9001662644,shreeplumbingenterprises@gmail.com,74,86,Active,1959,41930
VEN0044,Secure Electrical Works,Painting,Morbi,4.2,Silver,18,24RBKPA3212K1ZD,9071375880,secureelectricalworks@gmail.com,15,93,Active,3612,63650
VEN0045,Shree Pest Control Solutions,Water Tank Cleaning,Patan,4.8,Gold,20,24KQHKZ1946L1ZC,9414408727,shreepestcontrolsolutions@gmail.com,24,96,Active,1592,12200
VEN0046,Metro Landscaping Associates,Security,Junagadh,3.9,Bronze,25,24YQDCG1170Y1ZU,9477495668,metrolandscapingassociates@gmail.com,85,84,Active,6381,74530
VEN0047,Urban Electrical Care,Painting,Bharuch,4.2,Silver,20,24BNILB8088T1ZT,9545784863,urbanelectricalcare@gmail.com,126,96,Active,3317,57320
VEN0048,Prime Cleaning Care,Security,Vadodara,3.7,Bronze,18,24QBSZN6393Y1ZK,9606335328,primecleaningcare@gmail.com,43,90,Active,4833,56710
VEN0049,Om Water Tank Cleaning Enterprises,Painting,Kutch,4.9,Gold,6,24PYIJU8687V1ZQ,9065039371,omwatertankcleaningenterprises@gmail.com,40,84,Active,855,15600
VEN0050,Om Painting Solutions,Landscaping,Surat,4.3,Silver,23,24ITDJE8781O1ZB,9462427453,ompaintingsolutions@gmail.com,125,86,Active,12955,191700
VEN0051,Modern Water Tank Cleaning Care,Painting,Kutch,4.2,Silver,18,24NZVUD2685D1ZW,9882729149,modernwatertankcleaningcare@gmail.com,61,94,Active,4263,75740
VEN0052,Modern Cleaning Infra,Landscaping,Junagadh,3.7,Bronze,9,24KCFIC7310P1ZW,9874690219,moderncleaninginfra@gmail.com,140,93,Active,9785,142510
VEN0053,Metro Painting Facility Management,Cleaning,Anand,4.0,Bronze,15,24QQBVM5657J1ZN,9035165395,metropaintingfacilitymanagement@gmail.com,134,97,Active,1822,14240
VEN0054,Shree HVAC Care,HVAC,Junagadh,3.7,Bronze,10,24TJBGR1571L1ZR,9368694117,shreehvaccare@gmail.com,122,81,Active,4300,98730
VEN0055,Gujarat Furniture Services,Cleaning,Mehsana,4.7,Gold,11,24NZOGT1378K1ZI,9138783944,gujaratfurnitureservices@gmail.com,137,88,Active,1445,11730
VEN0056,Skyline Water Tank Cleaning Enterprises,Security,Rajkot,4.4,Silver,4,24IHLSE4479T1ZN,9299063869,skylinewatertankcleaningenterprises@gmail.com,41,99,Active,9544,115780
VEN0057,Urban Cleaning Enterprises,Security,Junagadh,3.7,Bronze,14,24YADLJ4013K1ZU,9290159177,urbancleaningenterprises@gmail.com,59,99,Active,5303,61540
VEN0058,Gujarat Pest Control Facility Management,Electrical,Valsad,3.8,Bronze,7,24XLCRV3305J1ZF,9796751217,gujaratpestcontrolfacilitymanagement@gmail.com,11,91,Active,3697,105890
VEN0059,Sunrise Water Tank Cleaning Works,Landscaping,Jamnagar,4.3,Silver,21,24WBKSM4451K1ZU,9045185571,sunrisewatertankcleaningworks@gmail.com,133,81,Active,11299,163780
VEN0060,Gujarat Plumbing Enterprises,Furniture,Junagadh,4.1,Bronze,18,24XVGQO1355F1ZS,9916768580,gujaratplumbingenterprises@gmail.com,16,98,Active,1366,47230
VEN0061,A1 Furniture Maintenance,Cleaning,Morbi,4.2,Silver,22,24OQHGU4461N1ZP,9431839337,a1furnituremaintenance@gmail.com,136,97,Active,3762,31570
VEN0062,Metro Security Facility Management,Painting,Valsad,4.3,Silver,9,24DBYWK9989X1ZK,9119484034,metrosecurityfacilitymanagement@gmail.com,66,86,Active,5229,95440
VEN0063,Modern Cleaning Services,Water Tank Cleaning,Morbi,4.0,Bronze,11,24NWLWS7345G1ZL,9505729619,moderncleaningservices@gmail.com,105,91,Active,2375,19110
VEN0064,Reliable Landscaping Works,Furniture,Kutch,4.7,Gold,18,24BBSUN1819K1ZF,9368555454,reliablelandscapingworks@gmail.com,9,91,Active,1542,54970
VEN0065,Reliable Electrical Infra,Cleaning,Morbi,4.4,Silver,10,24ZUUPS5166M1ZE,9825714442,reliableelectricalinfra@gmail.com,133,99,Active,1369,11330
VEN0066,Elite Cleaning Enterprises,Landscaping,Mehsana,4.3,Silver,23,24MJYLN5686Z1ZW,9249229977,elitecleaningenterprises@gmail.com,130,90,Active,1750,26970
VEN0067,Elite Security Associates,Painting,Navsari,4.9,Gold,5,24OOXKI7109C1ZL,9967282521,elitesecurityassociates@gmail.com,66,87,Active,5917,103620
VEN0068,Royal Cleaning Solutions,Pest Control,Rajkot,4.2,Silver,23,24UAOYK9841J1ZK,9207627809,royalcleaningsolutions@gmail.com,111,85,Active,2166,12390
VEN0069,Sai HVAC Care,Painting,Surat,3.9,Bronze,2,24HPYIL6581Q1ZO,9283767032,saihvaccare@gmail.com,54,85,Active,2870,50710
VEN0070,Green HVAC Associates,HVAC,Rajkot,4.1,Bronze,7,24ZMYAJ4235S1ZA,9232641698,greenhvacassociates@gmail.com,84,83,Active,1853,39820
VEN0071,Gujarat Security Maintenance,Plumbing,Morbi,3.9,Bronze,6,24LZJSX7887V1ZY,9575539189,gujaratsecuritymaintenance@gmail.com,56,98,Active,1153,26870
VEN0072,Sunrise Plumbing Enterprises,Landscaping,Valsad,4.1,Bronze,5,24RSMXL0145R1ZO,9630202047,sunriseplumbingenterprises@gmail.com,143,81,Active,2654,41570
VEN0073,Om Pest Control Services,Plumbing,Jamnagar,4.0,Bronze,22,24ZQKZJ8936V1ZR,9181931987,ompestcontrolservices@gmail.com,81,94,Active,1756,43730
VEN0074,Sunrise HVAC Associates,Furniture,Anand,4.1,Bronze,16,24JHYSC8478A1ZH,9210570742,sunrisehvacassociates@gmail.com,60,81,Active,669,22980
VEN0075,Royal Water Tank Cleaning Works,Security,Anand,4.4,Silver,11,24WZNKH5571V1ZN,9503635642,royalwatertankcleaningworks@gmail.com,52,97,Active,7928,96610
VEN0076,Elite Furniture Facility Management,Plumbing,Valsad,4.0,Bronze,3,24OZODG2698C1ZR,9712668177,elitefurniturefacilitymanagement@gmail.com,148,86,Active,2803,66570
VEN0077,Elite Furniture Works,Cleaning,Gandhinagar,4.0,Bronze,8,24ZDZMG6295Y1ZJ,9353254094,elitefurnitureworks@gmail.com,86,86,Active,3788,31560
VEN0078,Modern Security Infra,Furniture,Jamnagar,3.7,Bronze,2,24GYPKD3384U1ZV,9374774731,modernsecurityinfra@gmail.com,144,95,Active,433,15090
VEN0079,Crystal Landscaping Services,Electrical,Surat,4.3,Silver,2,24KVGSA5366T1ZP,9605407525,crystallandscapingservices@gmail.com,115,85,Active,1816,49650
VEN0080,Metro Electrical Associates,Furniture,Bharuch,3.8,Bronze,13,24GKJKO9268U1ZU,9703500144,metroelectricalassociates@gmail.com,89,98,Active,827,28210
VEN0081,Metro Landscaping Services,Water Tank Cleaning,Morbi,3.9,Bronze,10,24BBYXO0939S1ZE,9773012838,metrolandscapingservices@gmail.com,89,92,Active,2516,20250
VEN0082,Prime Electrical Associates,Security,Surat,4.6,Silver,5,24LVITY3702O1ZP,9253153722,primeelectricalassociates@gmail.com,23,82,Active,4874,57100
VEN0083,A1 Plumbing Infra,Plumbing,Kutch,4.6,Silver,12,24JCYLT1045Q1ZN,9105578047,a1plumbinginfra@gmail.com,148,87,Active,3074,74400
VEN0084,Secure Plumbing Infra,Painting,Navsari,3.8,Bronze,10,24MBLKM0226T1ZT,9113936833,secureplumbinginfra@gmail.com,39,89,Active,5808,108700
VEN0085,Reliable Water Tank Cleaning Facility Management,Plumbing,Kutch,4.3,Silver,12,24HSMOG3831S1ZG,9556594742,reliablewatertankcleaningfacilitymanagement@gmail.com,22,93,Active,492,11690
VEN0086,Elite Plumbing Engineers,Plumbing,Patan,3.9,Bronze,14,24BZMKN9657L1ZW,9856076360,eliteplumbingengineers@gmail.com,107,90,Active,2695,62860
VEN0087,Skyline Electrical Services,Furniture,Anand,3.7,Bronze,16,24JMRRD9429C1ZD,9873375307,skylineelectricalservices@gmail.com,120,90,Active,1400,51440
VEN0088,Om Painting Services,Electrical,Ahmedabad,4.7,Gold,12,24QREZG1159H1ZZ,9416406153,ompaintingservices@gmail.com,59,86,Active,1000,28030
VEN0089,A1 Electrical Maintenance,Landscaping,Bhavnagar,3.7,Bronze,13,24ILGWN6565L1ZL,9868726011,a1electricalmaintenance@gmail.com,83,83,Active,9751,140280
VEN0090,Crystal Security Enterprises,HVAC,Jamnagar,4.3,Silver,20,24JEQSQ9541K1ZO,9689413564,crystalsecurityenterprises@gmail.com,130,93,Active,7173,150660
VEN0091,Urban Pest Control Enterprises,Cleaning,Anand,3.7,Bronze,11,24AFHUO7455I1ZY,9595774247,urbanpestcontrolenterprises@gmail.com,68,89,Active,2805,21560
VEN0092,Sai Pest Control Engineers,Electrical,Valsad,4.1,Bronze,5,24UGVPJ7611G1ZG,9855519259,saipestcontrolengineers@gmail.com,136,83,Active,969,27480
VEN0093,Prime HVAC Services,Plumbing,Jamnagar,5.0,Gold,9,24DIGVK1663C1ZU,9774768445,primehvacservices@gmail.com,28,94,Active,2093,51700
VEN0094,Modern Electrical Associates,HVAC,Gandhinagar,4.2,Silver,17,24GVIPO4360D1ZU,9741840926,modernelectricalassociates@gmail.com,38,89,Active,4308,94040
VEN0095,Crystal Painting Solutions,Painting,Vadodara,4.5,Silver,13,24RQBQS7400G1ZP,9055403186,crystalpaintingsolutions@gmail.com,127,82,Active,2711,46670
VEN0096,Royal HVAC Solutions,Electrical,Rajkot,4.6,Silver,12,24JHJVW6605T1ZU,9132796428,royalhvacsolutions@gmail.com,40,83,Active,2921,80820
VEN0097,Green Security Infra,Plumbing,Anand,4.0,Bronze,10,24QGPSH9088G1ZQ,9613677232,greensecurityinfra@gmail.com,23,96,Active,3018,76030
VEN0098,Shree Security Works,Water Tank Cleaning,Patan,3.8,Bronze,13,24OEMZB5029Z1ZM,9565470562,shreesecurityworks@gmail.com,84,82,Active,2599,20850
VEN0099,Secure Furniture Enterprises,HVAC,Vadodara,4.4,Silver,11,24SSWBC4463X1ZV,9717719577,securefurnitureenterprises@gmail.com,47,91,Active,6808,156830
VEN0100,Prime Painting Solutions,Cleaning,Mehsana,4.7,Gold,15,24HBSOC4345L1ZF,9215725082,primepaintingsolutions@gmail.com,125,91,Active,3456,28650
VEN0101,Green Plumbing Enterprises,Cleaning,Patan,4.9,Gold,9,24IKSHC3591Z1ZQ,9990428350,greenplumbingenterprises@gmail.com,56,89,Active,1258,9570
VEN0102,Gujarat Water Tank Cleaning Facility Management,Water Tank Cleaning,Morbi,4.2,Silver,8,24TOUDY0566A1ZK,9068715240,gujaratwatertankcleaningfacilitymanagement@gmail.com,41,88,Active,2676,21880
VEN0103,Om Cleaning Facility Management,Landscaping,Patan,4.9,Gold,24,24XLTPN6350V1ZE,9223877320,omcleaningfacilitymanagement@gmail.com,56,84,Active,14464,220900
VEN0104,Metro Plumbing Solutions,Pest Control,Mehsana,3.8,Bronze,15,24DJULM8083W1ZW,9628179302,metroplumbingsolutions@gmail.com,49,80,Active,562,3380
VEN0105,Green Pest Control Associates,Furniture,Rajkot,4.6,Silver,16,24CUDBU2146U1ZC,9528009419,greenpestcontrolassociates@gmail.com,89,83,Active,1748,59750
VEN0106,Sai Pest Control Services,Water Tank Cleaning,Patan,3.8,Bronze,25,24KAREF1280T1ZT,9224502118,saipestcontrolservices@gmail.com,139,87,Active,3384,27450
VEN0107,Sunrise Cleaning Infra,Security,Morbi,4.7,Gold,19,24UIOIH0508I1ZB,9843521225,sunrisecleaninginfra@gmail.com,19,87,Active,7072,81570
VEN0108,Green Security Enterprises,Water Tank Cleaning,Mehsana,3.8,Bronze,25,24SXASY5519P1ZR,9340225092,greensecurityenterprises@gmail.com,38,90,Active,2993,23790
VEN0109,Crystal Security Services,Water Tank Cleaning,Jamnagar,3.6,Bronze,5,24WWYJY3131F1ZX,9979619697,crystalsecurityservices@gmail.com,62,98,Active,1342,10690
VEN0110,Crystal HVAC Engineers,Painting,Jamnagar,4.6,Silver,7,24SYYKZ9069T1ZH,9614303369,crystalhvacengineers@gmail.com,90,94,Active,2228,41920
VEN0111,Shree Painting Facility Management,Electrical,Junagadh,3.9,Bronze,10,24USBLK1483M1ZD,9875724700,shreepaintingfacilitymanagement@gmail.com,71,83,Active,2623,76200
VEN0112,Om Security Enterprises,Plumbing,Vadodara,4.8,Gold,19,24YZIZX7466N1ZF,9039459562,omsecurityenterprises@gmail.com,29,81,Active,3140,73580
VEN0113,Green Water Tank Cleaning Associates,Plumbing,Surat,4.8,Gold,13,24ACVQM0269P1ZD,9334605183,greenwatertankcleaningassociates@gmail.com,119,81,Active,1488,35710
VEN0114,A1 Pest Control Care,Painting,Surat,4.0,Bronze,6,24TRCIO9558Q1ZN,9969522380,a1pestcontrolcare@gmail.com,137,98,Active,2241,39040
VEN0115,Crystal Plumbing Facility Management,Plumbing,Surat,4.7,Gold,15,24CRFVD5378C1ZM,9558590757,crystalplumbingfacilitymanagement@gmail.com,33,93,Active,2884,72070
VEN0116,Prime Plumbing Maintenance,Electrical,Rajkot,4.4,Silver,20,24UUWWW2654F1ZI,9466438604,primeplumbingmaintenance@gmail.com,73,91,Active,2344,68060
VEN0117,Shree Security Engineers,Pest Control,Rajkot,4.0,Bronze,9,24DZLVH4612N1ZX,9453070747,shreesecurityengineers@gmail.com,139,98,Active,3541,20820
VEN0118,Shree Plumbing Facility Management,Furniture,Surat,4.8,Gold,9,24ABJFJ4396H1ZL,9449453828,shreeplumbingfacilitymanagement@gmail.com,28,89,Active,1911,67810
VEN0119,Shree HVAC Services,Water Tank Cleaning,Gandhinagar,3.8,Bronze,9,24QRGKA7709U1ZF,9602839643,shreehvacservices@gmail.com,94,94,Active,4558,36860
VEN0120,A1 Furniture Care,Landscaping,Kutch,4.0,Bronze,20,24CNRVJ6621C1ZK,9968278217,a1furniturecare@gmail.com,19,99,Active,3340,48360
VEN0121,Shree Pest Control Engineers,HVAC,Kutch,4.0,Bronze,14,24TPZVI7664V1ZL,9588810128,shreepestcontrolengineers@gmail.com,51,90,Active,3369,76060
VEN0122,Om Furniture Works,Painting,Patan,3.9,Bronze,12,24JPMDB6564G1ZQ,9165481939,omfurnitureworks@gmail.com,122,84,Active,1643,29690
VEN0123,Reliable Plumbing Solutions,Plumbing,Mehsana,4.3,Silver,22,24BLFUO1771N1ZU,9444057987,reliableplumbingsolutions@gmail.com,140,86,Active,1210,29850
VEN0124,Shree Cleaning Facility Management,Security,Navsari,3.9,Bronze,6,24CNHBB9455N1ZV,9939319942,shreecleaningfacilitymanagement@gmail.com,38,86,Active,9697,116720
VEN0125,Shree Water Tank Cleaning Associates,Security,Surat,3.8,Bronze,14,24WGNBZ6606N1ZO,9354166366,shreewatertankcleaningassociates@gmail.com,74,99,Active,9330,106370
VEN0126,Prime HVAC Solutions,Water Tank Cleaning,Rajkot,4.3,Silver,11,24CCFFG5272B1ZR,9429306986,primehvacsolutions@gmail.com,43,82,Active,2952,23200
VEN0127,Secure Electrical Solutions,Furniture,Valsad,4.9,Gold,11,24GBVWW3641Y1ZB,9016389273,secureelectricalsolutions@gmail.com,92,85,Active,1629,54280
VEN0128,Metro HVAC Infra,Painting,Kutch,4.9,Gold,24,24WUQUC6091N1ZS,9454676887,metrohvacinfra@gmail.com,38,95,Active,5288,99270
VEN0129,Elite Electrical Infra,Electrical,Bharuch,4.2,Silver,22,24ISRTO5963Q1ZW,9706236385,eliteelectricalinfra@gmail.com,18,80,Active,2054,59690
VEN0130,Crystal Landscaping Care,Plumbing,Vadodara,4.8,Gold,17,24IIHNO3804S1ZO,9043970405,crystallandscapingcare@gmail.com,28,99,Active,2590,64220
VEN0131,Gujarat Landscaping Associates,Pest Control,Mehsana,3.9,Bronze,13,24VVVIT5734D1ZY,9603675318,gujaratlandscapingassociates@gmail.com,131,84,Active,3571,21010
VEN0132,Skyline Electrical Engineers,Furniture,Rajkot,4.5,Silver,14,24FVEIT0661O1ZO,9691450984,skylineelectricalengineers@gmail.com,135,85,Active,841,28130
VEN0133,Crystal Plumbing Solutions,Water Tank Cleaning,Mehsana,4.1,Bronze,18,24WKPSG3328E1ZN,9685853752,crystalplumbingsolutions@gmail.com,58,99,Active,2596,21550
VEN0134,Gujarat Security Enterprises,Plumbing,Mehsana,5.0,Gold,24,24DJMOR4782N1ZZ,9013002796,gujaratsecurityenterprises@gmail.com,42,81,Active,766,19210
VEN0135,Gujarat Furniture Associates,Pest Control,Rajkot,3.6,Bronze,21,24WTWTO2772V1ZB,9939935026,gujaratfurnitureassociates@gmail.com,118,87,Active,4474,25730
VEN0136,Modern Water Tank Cleaning Associates,Furniture,Gandhinagar,4.6,Silver,11,24LZBZT1022F1ZS,9804909576,modernwatertankcleaningassociates@gmail.com,82,95,Active,1110,38800
VEN0137,Sunrise Security Solutions,Security,Anand,4.7,Gold,7,24NUEOK3863J1ZG,9964576132,sunrisesecuritysolutions@gmail.com,67,81,Active,1989,22840
VEN0138,Reliable HVAC Solutions,Landscaping,Navsari,4.1,Bronze,2,24XVJUL0815D1ZF,9975626268,reliablehvacsolutions@gmail.com,57,97,Active,13382,205960
VEN0139,Skyline Electrical Enterprises,Security,Surat,3.6,Bronze,4,24BEGBV9444K1ZA,9310707083,skylineelectricalenterprises@gmail.com,133,83,Active,1271,15660
VEN0140,Gujarat Painting Maintenance,Pest Control,Kutch,3.7,Bronze,14,24VAEFT7826J1ZV,9898690810,gujaratpaintingmaintenance@gmail.com,105,97,Active,7354,42480
VEN0141,Sunrise Electrical Engineers,Security,Gandhinagar,3.9,Bronze,15,24XWDEQ2165B1ZY,9994520074,sunriseelectricalengineers@gmail.com,89,91,Active,2296,27480
VEN0142,Prime Furniture Solutions,Electrical,Gandhinagar,4.0,Bronze,12,24MIRSD5891K1ZH,9776236344,primefurnituresolutions@gmail.com,83,95,Active,926,26060
VEN0143,Sunrise Electrical Enterprises,Electrical,Bharuch,4.5,Silver,6,24XFTQS8868S1ZM,9720285613,sunriseelectricalenterprises@gmail.com,79,84,Active,2870,78470
VEN0144,Urban Landscaping Associates,Security,Ahmedabad,3.7,Bronze,23,24GZZRT1155E1ZX,9790722265,urbanlandscapingassociates@gmail.com,97,92,Active,3121,38850
VEN0145,Elite Pest Control Services,Security,Rajkot,3.7,Bronze,24,24ZQHTP5335C1ZQ,9292483780,elitepestcontrolservices@gmail.com,40,94,Active,7416,88310
VEN0146,Crystal Furniture Solutions,Painting,Gandhinagar,4.3,Silver,6,24EJSDF8744G1ZS,9180051605,crystalfurnituresolutions@gmail.com,19,85,Active,5385,94140
VEN0147,A1 Plumbing Associates,Water Tank Cleaning,Ahmedabad,4.9,Gold,25,24SVYFP4424E1ZZ,9576516950,a1plumbingassociates@gmail.com,101,92,Active,1320,10600
VEN0148,Prime Electrical Services,Landscaping,Patan,3.9,Bronze,6,24PEXPW5706T1ZR,9887653052,primeelectricalservices@gmail.com,128,92,Active,7304,112080
VEN0149,Modern Water Tank Cleaning Maintenance,Plumbing,Bharuch,3.7,Bronze,17,24TXCPO2070Q1ZD,9532841452,modernwatertankcleaningmaintenance@gmail.com,142,93,Active,1763,41050
VEN0150,Modern Water Tank Cleaning Engineers,HVAC,Gandhinagar,5.0,Gold,15,24OOEOM9573E1ZV,9127915786,modernwatertankcleaningengineers@gmail.com,18,85,Active,6081,131260
VEN0151,Green Cleaning Solutions,Pest Control,Patan,4.8,Gold,4,24BFCAJ9657T1ZB,9986426820,greencleaningsolutions@gmail.com,135,96,Active,4134,26030
VEN0152,Royal Water Tank Cleaning Enterprises,Security,Anand,4.5,Silver,22,24AEZUJ3557C1ZC,9575538294,royalwatertankcleaningenterprises@gmail.com,108,98,Active,9169,111680
VEN0153,Shree Painting Enterprises,Electrical,Vadodara,4.2,Silver,18,24HYUYW8569S1ZP,9779445010,shreepaintingenterprises@gmail.com,61,87,Active,1329,36980
